soil nutrient index by state (2023-24),,,,
state,N,P,K,S
ANDHRA PRADESH,2.02,2.71,1.97,1.71
Arunachal pradesh,2.4,1.78,2.05,1.85
assam,2.05,2.2,2,2
bihar,1.56,1.98,1.88,1.58
chhattisgarh,2.18,2.15,2.22,1.92
delhi,1.42,1.85,1.95,1.75
goa,2.15,2.18,2.12,1.88
gujarat,1.48,2.08,1.82,1.65
haryana,1.64,1.92,2.08,1.92
h.p.,2.38,2.05,2.15,2.05
j and k,2.12,1.68,2.18,1.68
jharkhand,1.85,2.12,2.05,1.78
karnataka,1.48,2.28,1.92,1.85
KERALA,2.34,2.18,2.08,2.02
M.P.,1.95,1.95,2.12,1.95
MAHARASHTRA,1.68,2.12,2.18,1.82
manipur,2.05,1.92,1.98,1.72
meghalaya,2.15,1.82,2.15,1.65
mizoram,2.28,1.75,2.05,1.88
nagaland,2.42,1.65,2.22,1.92
odisha,1.52,1.58,2.02,1.52
punjab,1.87,2.28,1.99,1.83
rajasthan,1.63,2.15,2.08,1.78
sikkim,2.35,2.22,2.15,1.98
t.N,1.58,2.18,2.05,1.88
telangana,1.82,1.95,2.12,1.85
tripura,2.18,1.88,2.08,1.75
u.p.,1.72,1.92,2.1,1.8
uttrakhand,2.25,2.08,2.05,2.08
west bengal,1.78,2.05,1.88,1.68
