Soil nutrient status (L/H/M),,,,,,
STATE,N,P,K,S,,
ANDHRA PRADESH,medium,high,medium,medium,,
ARUNACHAL PRDADESH,high,medium,medium,medium,,
assam,medium,medium,medium,medium,,
bihar,low,medium,medium,low,,
chhattisgarh,medium,medium,medium,medium,,
delhi,low,medium,medium,medium,,4
goa,medium,medium,medium,medium,,
gujarat,low,medium,medium,low,,
haryana,low,medium,medium,medium,,
h.p.,high,medium,medium,medium,,
j and k,medium,medium,medium,medium,,
jharkhand,medium,medium,medium,medium,,
karnataka,low,medium,medium,medium,,
KERALA,medium,medium,medium,medium,,
M.P.,medium,medium,medium,medium,,
MAHARASHTRA,medium,medium,medium,medium,,
manipur,medium,medium,medium,medium,,
meghalaya,medium,medium,medium,low,,
mizoram,medium,medium,medium,medium,,
nagaland,high,low,medium,medium,,
odisha,low,low,medium,low,,
punjab,medium,medium,medium,medium,,
rajasthan,low,low,medium,medium,,
sikkim,high,medium,medium,medium,,
t.N,low,medium,medium,medium,,
telangana,medium,medium,medium,medium,,
tripura,medium,medium,medium,medium,,
u.p.,medium,medium,medium,medium,,
uttrakhand,medium,medium,medium,medium,,
west bengal,medium,medium,medium,medium,,
